ID,Q57,Q1,Q14,Q17,Q3,Q21,Q22,Region,Division,744 valid responses,363,300,90,20,14,9,60,48,6,102,49,28,7,301,205,105,33,22,17,8,234,87,74,52,36,12,11,42,15,12,,,,,,,,,,,,,,,,,,,,,
46,1,3,2,4,3,2,1,SO,5,"The biggest problem with life science education is the hegemonic control of our curriculum by the medical school overlords. A bit melodramatic, but the need to have all life science majors ""MCAT ready""dictates the range of courses we have to offer.",,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
47,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,3,2,4,2,4,2,WE,8,Cultural differences between BI practitioners and traditional ecologists/evolutionary biologists.,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,4,2,4,2,4,2,MW,3,Thinking probabilistically.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,4,2,4,2,4,2,NE,2,Many biologists are math phobic.  The challenge is how to get them to be interested again.,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,2,#NULL!,4,2,4,3,NE,2,"internet based sources change from year to year -- URLs change, interfaces changeMany changes are for the better but it makes teaching a yearly course challenging.Difficult to keep up with advances",1,1,1,,,,,,,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,3,1,4,2,4,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1,3,2,4,2,4,1,WE,9,Poor understanding of basic science - math and chemistry.,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,4,2,4,3,4,1,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,1,1,4,2,2,2,NE,2,This is a challenge for all life scientists: the general under preparation of students. They are often not taking statistics until junior year. For bioinformatics specifically: it is a different approach to biology that UG have rarely encountered before (n part because they are not computer scientists or math majors).,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,1,2,4,9,4,2,SO,5,"(1) Bioinformatics teaching focusses on algorithms, rather than biology(2) Biologists teaching bioinformatics are uncomfortable critically evaluating the methods that they are teaching.",1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,4,2,4,8,4,3,SO,6,Getting them excited about math and stats.,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,4,2,4,8,4,3,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,3,2,4,1,4,3,SO,5,Have enough faculty with the required expertise,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1,3,2,4,2,4,1,WE,9,"Piquing the interest of undergraduates in this topic. Developing some fascinating case studies for use in undergraduate teaching would help (e.g. studies / labs involving human data or studies that directly impact humans). Maybe such case studies for undegraduates have already been developed, but I have not run across them; that would suggest more outreach / advertisement  to undergrad instructors is needed.",1,1,,,,,,,,,,,,1,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,3,1,2,2,4,1,SO,5,Availability of time and resources to effectively teach the material (computer availability etc.).  Lack of interest from students to take bioinformatics or understand the importance of it.  I don't think I would have taken it in college had I known that t was available because it didn't fit my interests at the time.  As an advisor I have also witnessed students become anxious about the emphasis on mathematics with bioinformatics as well.,1,,1,,,,1,1,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,2,2,4,3,4,3,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,4,2,4,2,4,2,SO,5,The language differences between the life sciences and computer science.,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,3,1,4,2,4,2,SO,5,Knowledgable faculty to teach innovative courses,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,3,2,4,2,4,2,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,2,1,4,2,4,2,SO,5,"The majority of our students do not seem to be terribly interested in it, according to our survey data. We have increased the interest by connecting the bioinformatics to ""hands on"" lab activities and case studies, but struggle with this.",,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,#NULL!,#NULL!,1,4,4,4,2,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,3,2,4,2,3,2,WE,8,helping traditional life scientists (bench researchers) to become acquainted with the discipline and to help bioinformatics scientists to become more familiar with the biology they are analyzing.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,#NULL!,#NULL!,2,4,9,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,1,2,4,9,4,2,WE,8,Scientists who believe that bioinformatics is not science.,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,1,2,4,9,4,2,WE,8,"Having people with extensive experience in dual disciplines. Many programs focus too heavily on the computers and miss the biology, while others focus too much on data analysis and don't learn coding. I think we find a good balance in our program, but thee aren't many like ours, and their need to be.",1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,#NULL!,#NULL!,2,4,2,4,2,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,3,2,4,2,4,2,WE,8,"we are self taught and tend to teach what we do rather than the full breadth of bioinformatics.  But I think the same is true of the bioinformaticists that are teaching full-on bioinformatics courses.  They still tend to emphasize their discipline.  Thus,we tend to be heavily weighted on applied medical and human disease issues and not enough of showing students how it is used to address questions in basic biology, ecology and evolution.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,2,2,4,2,4,2,WE,8,Lack of first-hand bioinformatics expertise among the faculty makes it difficult to teach these skills.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,2,2,4,4,4,2,WE,8,"Integration of bioinformatics into life science education is a fall-back alternative to integration of computer programming in ALL undergraduate degrees. IMO, all current students should have some exposure to programming logic to integrate into the modernworld. Bioinformatics integration should not 'pick up the slack' for the general need of programing of a general college education.",,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
81,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,1,2,4,9,4,2,SO,5,getting students comfortable with playing with big data,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,3,2,4,2,4,1,SO,7,Poor infrastructure.,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1,4,2,4,2,4,2,SO,7,Finding room in the curriculum for these courses.,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,3,1,2,3,3,1,WE,8,"Training of instructors/professors:  I am self-taught in BI, and only because I wanted to include one BI  lab/semester in my course.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,4,1,4,2,4,3,NE,2,"1. Rapidly changing field2. Mismatch between expectation of students and of faculty",,,,,,,,,,,,,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,4,2,4,3,4,3,NE,2,Getting biologists comfortable with computing,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1,2,2,4,3,4,3,MW,3,"Most have never heard of it before, and lack the basic genetic understanding (""operon,"" ""transcriptional regulator"") to build upon.",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,4,1,4,3,4,2,WE,9,Keeping current and deciding what to emphasize - especially as some aspects of bioinformatics change in the time frame for course development and approval.,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,1,1,4,2,4,3,SO,5,"I created the  Introduction to Bioinformatics   BSC4434  course seven years ago and created the Bioinformatic minor. The class and the minor are very popular  however I have to turn down students.My cap is 33 students because  of the computer lab size. f the class became a core class for the major, maybe we could do several sections with TA but as an elective we have hit a limit.",,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,4,1,4,2,4,3,SO,5,Lack of integration of biological and computational knowledge,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1,3,1,4,1,4,3,SO,5,The tight curriculum that leaves little time for exploring new courses; students enrolling midway (coming from community colleges); vastly different quality of pre-college education ;,,,,,,,,,,,,,,1,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1,3,1,4,2,4,1,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1,3,2,4,1,4,1,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,4,1,4,2,4,2,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,1,1,4,2,4,3,MW,4,"1.  Setting aside enough time in one or more semester to enable serious treatment of both the theoretical and practical sides of the discipline.  2.  Separate training of undergraduates (not mixed UG-Grad classes).3. Identifying individuals (not all bology majors) who would benefit from/appreciate the opportunity to have interdisciplinary (computing, statistics, bioinformatics) training at the expense of less breadth in biological subdisciplines (neurobiology, ecology etc.).",1,,1,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,3,2,4,1,4,2,WE,9,"Helping those without training incorporate bioinformatics in to their courses. And, helping those with training be able to translate that training in to engaging and relevant course components.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,2,1,4,3,4,2,SO,5,"finding a balance in helping students develop an understanding of how to navigate and use information, without spending too much time through lengthy ""click-click-click"" procedures.",,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,2,1,4,2,4,2,SO,5,"Getting students past the hurdle of in the intangibility of a genome, and the disconnect between disinterest in computer programming for students interested in organismal biology.",,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,3,2,4,2,4,3,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,3,#NULL!,1,3,3,#NULL!,#NULL!,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,3,1,4,8,4,3,SO,5,"That students that tend to go down the biology path are afraid of math/lack confidence in math and struggle with problem solving and critical thinking.  Historically it has not been a very quantitative path,  To succeed in biological programs, you just neded to memorize everything, and regurgitate it on the exam.  For the modern biologist, this won't be good enough, and we as educators need to do a better job preparing students for that.  I think the future of biology is going to be analyzing the huge amonts of biological data in the pipeline.  Already, companies would rather hire computer scientists of statisticians to do that kind of technical work, because frankly teaching them the biology is easier.",,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,4,2,4,2,4,1,SO,5,Lack of preparation of students for this area of study.,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,3,2,4,2,4,2,SO,5,Standardized computing environment,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,3,3,4,2,4,3,SO,5,"knowledge of computers, math, and statistics",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,2,2,4,2,4,3,NE,2,For me it's the fact the field is changing so rapidly and since I am not a bioinformatician it is hard for me to keep up which makes it hard to decide what is relevant for a class incorporating bioinformatics.,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,2,1,4,2,4,3,WE,9,Students need to learn core competencies early in their careers,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,WE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1,4,2,4,2,4,1,WE,8,Lack of math skills and knowledge of computer science.,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,MW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1,1,3,4,2,4,1,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,2,1,4,3,4,1,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,SO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1,1,1,4,3,3,2,SO,7,"Lack of consensus about what is important to teach (concepts vs programming skills? genomics vs proteomics?), and what to ""leave out"" of the curriculum if bioinformatics is to be accommodated.",1,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
