Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue
1_Associate's College,Resource Issues: Access to lesson plans,7.0,32.0,21.875,176.0,0.03977272727272727,Associates,7.0,169.0,0.8208672685523539
2_Baccalaureate College,Resource Issues: Access to lesson plans,9.0,32.0,28.125,228.0,0.039473684210526314,Baccalaureate,9.0,219.0,0.8208672685523539
"3_Master's (Small, Medium, Large)",Resource Issues: Access to lesson plans,6.0,32.0,18.75,204.0,0.029411764705882353,Masters,6.0,198.0,0.8208672685523539
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: Access to lesson plans,10.0,32.0,31.25,358.0,0.027932960893854747,Doctoral,10.0,348.0,0.8208672685523539
1_Associate's College,Resource Issues: Access to intro content,8.0,13.0,61.53846153846154,176.0,0.045454545454545456,Associates,8.0,168.0,7.547945236991686e-4
2_Baccalaureate College,Resource Issues: Access to intro content,1.0,13.0,7.6923076923076925,228.0,0.0043859649122807015,Baccalaureate,1.0,227.0,7.547945236991686e-4
"3_Master's (Small, Medium, Large)",Resource Issues: Access to intro content,2.0,13.0,15.384615384615385,204.0,0.00980392156862745,Masters,2.0,202.0,7.547945236991686e-4
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: Access to intro content,2.0,13.0,15.384615384615385,358.0,0.00558659217877095,Doctoral,2.0,356.0,7.547945236991686e-4
1_Associate's College,Resource Issues: Unable to vet content,5.0,16.0,31.25,176.0,0.028409090909090908,Associates,5.0,171.0,0.196494240477015
2_Baccalaureate College,Resource Issues: Unable to vet content,5.0,16.0,31.25,228.0,0.021929824561403508,Baccalaureate,5.0,223.0,0.196494240477015
"3_Master's (Small, Medium, Large)",Resource Issues: Unable to vet content,4.0,16.0,25.0,204.0,0.0196078431372549,Masters,4.0,200.0,0.196494240477015
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: Unable to vet content,2.0,16.0,12.5,358.0,0.00558659217877095,Doctoral,2.0,356.0,0.196494240477015
1_Associate's College,Resource Issues: Funding,3.0,8.0,37.5,176.0,0.017045454545454544,Associates,3.0,173.0,0.5027606913363554
2_Baccalaureate College,Resource Issues: Funding,1.0,8.0,12.5,228.0,0.0043859649122807015,Baccalaureate,1.0,227.0,0.5027606913363554
"3_Master's (Small, Medium, Large)",Resource Issues: Funding,1.0,8.0,12.5,204.0,0.004901960784313725,Masters,1.0,203.0,0.5027606913363554
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: Funding,3.0,8.0,37.5,358.0,0.008379888268156424,Doctoral,3.0,355.0,0.5027606913363554
1_Associate's College,Resource Issues: No appropriate textbook,4.0,9.0,44.44444444444444,176.0,0.022727272727272728,Associates,4.0,172.0,0.21276533696201053
2_Baccalaureate College,Resource Issues: No appropriate textbook,1.0,9.0,11.11111111111111,228.0,0.0043859649122807015,Baccalaureate,1.0,227.0,0.21276533696201053
"3_Master's (Small, Medium, Large)",Resource Issues: No appropriate textbook,1.0,9.0,11.11111111111111,204.0,0.004901960784313725,Masters,1.0,203.0,0.21276533696201053
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: No appropriate textbook,3.0,9.0,33.33333333333333,358.0,0.008379888268156424,Doctoral,3.0,355.0,0.21276533696201053
1_Associate's College,Resource Issues: No access to online exercises,1.0,5.0,20.0,176.0,0.005681818181818182,Associates,1.0,175.0,0.23220196692764025
2_Baccalaureate College,Resource Issues: No access to online exercises,3.0,5.0,60.0,228.0,0.013157894736842105,Baccalaureate,3.0,225.0,0.23220196692764025
"3_Master's (Small, Medium, Large)",Resource Issues: No access to online exercises,0.0,5.0,0.0,204.0,0.0,Masters,0.0,204.0,0.23220196692764025
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: No access to online exercises,1.0,5.0,20.0,358.0,0.002793296089385475,Doctoral,1.0,357.0,0.23220196692764025
1_Associate's College,Resource Issues: No qualified TAs,0.0,1.0,0.0,176.0,0.0,Associates,0.0,176.0,0.6369151332257427
2_Baccalaureate College,Resource Issues: No qualified TAs,0.0,1.0,0.0,228.0,0.0,Baccalaureate,0.0,228.0,0.6369151332257427
"3_Master's (Small, Medium, Large)",Resource Issues: No qualified TAs,0.0,1.0,0.0,204.0,0.0,Masters,0.0,204.0,0.6369151332257427
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: No qualified TAs,1.0,1.0,100.0,358.0,0.002793296089385475,Doctoral,1.0,357.0,0.6369151332257427
1_Associate's College,Student Issues: Background knowledge,18.0,45.0,40.0,176.0,0.10227272727272728,Associates,18.0,158.0,5.58637168747119e-4
2_Baccalaureate College,Student Issues: Background knowledge,4.0,45.0,8.88888888888889,228.0,0.017543859649122806,Baccalaureate,4.0,224.0,5.58637168747119e-4
"3_Master's (Small, Medium, Large)",Student Issues: Background knowledge,10.0,45.0,22.22222222222222,204.0,0.049019607843137254,Masters,10.0,194.0,5.58637168747119e-4
"4_Doctoral University (High, Higher, Highest Research Activity)",Student Issues: Background knowledge,13.0,45.0,28.888888888888886,358.0,0.036312849162011177,Doctoral,13.0,345.0,5.58637168747119e-4
1_Associate's College,Student Issues: Interest in topic,2.0,10.0,20.0,176.0,0.011363636363636364,Associates,2.0,174.0,0.22270374445179186
2_Baccalaureate College,Student Issues: Interest in topic,5.0,10.0,50.0,228.0,0.021929824561403508,Baccalaureate,5.0,223.0,0.22270374445179186
"3_Master's (Small, Medium, Large)",Student Issues: Interest in topic,1.0,10.0,10.0,204.0,0.004901960784313725,Masters,1.0,203.0,0.22270374445179186
"4_Doctoral University (High, Higher, Highest Research Activity)",Student Issues: Interest in topic,2.0,10.0,20.0,358.0,0.00558659217877095,Doctoral,2.0,356.0,0.22270374445179186
1_Associate's College,Facilities: Access to equipment,4.0,18.0,22.22222222222222,176.0,0.022727272727272728,Associates,4.0,172.0,0.968181099203137
2_Baccalaureate College,Facilities: Access to equipment,4.0,18.0,22.22222222222222,228.0,0.017543859649122806,Baccalaureate,4.0,224.0,0.968181099203137
"3_Master's (Small, Medium, Large)",Facilities: Access to equipment,4.0,18.0,22.22222222222222,204.0,0.0196078431372549,Masters,4.0,200.0,0.968181099203137
"4_Doctoral University (High, Higher, Highest Research Activity)",Facilities: Access to equipment,6.0,18.0,33.33333333333333,358.0,0.01675977653631285,Doctoral,6.0,352.0,0.968181099203137
1_Associate's College,Institutional: Inertia,0.0,3.0,0.0,176.0,0.0,Associates,0.0,176.0,0.8271344685938109
2_Baccalaureate College,Institutional: Inertia,1.0,3.0,33.33333333333333,228.0,0.0043859649122807015,Baccalaureate,1.0,227.0,0.8271344685938109
"3_Master's (Small, Medium, Large)",Institutional: Inertia,1.0,3.0,33.33333333333333,204.0,0.004901960784313725,Masters,1.0,203.0,0.8271344685938109
"4_Doctoral University (High, Higher, Highest Research Activity)",Institutional: Inertia,1.0,3.0,33.33333333333333,358.0,0.002793296089385475,Doctoral,1.0,357.0,0.8271344685938109
1_Associate's College,State Restrictions,1.0,1.0,100.0,176.0,0.005681818181818182,Associates,1.0,175.0,0.2128897822295588
2_Baccalaureate College,State Restrictions,0.0,1.0,0.0,228.0,0.0,Baccalaureate,0.0,228.0,0.2128897822295588
"3_Master's (Small, Medium, Large)",State Restrictions,0.0,1.0,0.0,204.0,0.0,Masters,0.0,204.0,0.2128897822295588
"4_Doctoral University (High, Higher, Highest Research Activity)",State Restrictions,0.0,1.0,0.0,358.0,0.0,Doctoral,0.0,358.0,0.2128897822295588
1_Associate's College,Accreditation,1.0,1.0,100.0,176.0,0.005681818181818182,Associates,1.0,175.0,0.2128897822295588
2_Baccalaureate College,Accreditation,0.0,1.0,0.0,228.0,0.0,Baccalaureate,0.0,228.0,0.2128897822295588
"3_Master's (Small, Medium, Large)",Accreditation,0.0,1.0,0.0,204.0,0.0,Masters,0.0,204.0,0.2128897822295588
"4_Doctoral University (High, Higher, Highest Research Activity)",Accreditation,0.0,1.0,0.0,358.0,0.0,Doctoral,0.0,358.0,0.2128897822295588
